City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Cape Town,-33.93,18.42,45.7,100,0,1.12,ZA
Rikitea,-23.12,-134.97,73.92,86,100,8.66,PF
Dwārka,22.24,68.97,85.01,82,100,8.81,IN
Arraial do Cabo,-22.97,-42.03,68.47,76,61,14.2,BR
Gazojak,41.19,61.4,73.35,32,0,7.43,TM
Chumikan,54.72,135.31,52.39,95,100,24.56,RU
Dingle,11.0,122.67,78.3,88,100,2.04,PH
Spearfish,44.49,-103.86,68.09,58,80,1.99,US
Manokwari,-0.87,134.08,84.54,65,93,3.44,ID
Tevaitoa,-16.78,-151.5,79.32,80,1,12.15,PF
Margate,51.38,1.39,66.61,82,96,1.99,GB
Hermanus,-34.42,19.23,43.0,97,0,1.01,ZA
Alghero,40.56,8.32,75.09,78,0,1.12,IT
Hohhot,40.81,111.65,77.0,73,80,6.71,CN
Sisimiut,66.94,-53.67,45.21,92,100,13.6,GL
Khani,41.96,42.96,68.0,94,75,2.24,GE
Hambantota,6.12,81.12,77.0,100,40,6.93,LK
Nioro,13.35,-15.75,76.06,94,4,5.14,GM
Arrifes,37.77,-25.7,68.0,77,20,5.82,PT
Mayo,38.89,-76.51,75.56,88,90,3.53,US
Esperance,-33.87,121.9,55.4,93,90,3.36,AU
Constitución,-35.33,-72.42,53.55,72,100,0.47,CL
Port Lincoln,-34.73,135.87,61.77,45,99,18.54,AU
Leningradskiy,69.38,178.42,39.81,74,90,4.07,RU
Hobart,-42.88,147.33,57.54,58,75,6.93,AU
Chlórakas,34.8,32.41,74.14,88,0,5.82,CY
Kavaratti,10.57,72.64,82.69,80,100,20.8,IN
Saskylakh,71.92,114.08,69.31,45,0,5.55,RU
Geraldton,-28.77,114.6,62.6,67,0,16.11,AU
Ushuaia,-54.8,-68.3,41.0,65,75,17.22,AR
Spasskoye,44.61,132.8,81.77,74,95,11.72,RU
Saint George,37.1,-113.58,105.84,9,1,16.11,US
Aklavik,68.22,-135.01,73.4,46,40,12.75,CA
Kapaa,22.08,-159.32,74.71,83,90,17.22,US
Provideniya,64.38,-173.3,53.01,59,6,4.03,RU
Bengkulu,-3.8,102.27,78.62,74,100,5.84,ID
Ust'-Ishim,57.69,71.17,63.43,96,85,3.87,RU
Severo-Kuril'sk,50.68,156.12,54.54,82,74,15.39,RU
Busselton,-33.65,115.33,56.14,71,95,4.92,AU
Hong Kong,22.29,114.16,82.98,83,100,18.01,HK
Morgan City,29.7,-91.21,81.48,88,1,6.93,US
Flinders,-34.58,150.86,64.99,59,66,14.0,AU
Mataura,-46.19,168.86,59.52,67,100,3.38,NZ
Novobirilyussy,56.95,90.67,62.82,64,100,1.95,RU
Katsuura,35.13,140.3,82.8,78,40,8.05,JP
Ponta Delgada,37.73,-25.67,68.0,77,20,5.82,PT
Zamora,-4.07,-78.96,66.31,73,78,2.48,EC
Forsytheganj,52.63,29.73,51.62,97,41,6.82,BY
Kaitangata,-46.28,169.85,57.0,70,100,1.99,NZ
Pisco,-13.7,-76.22,60.46,82,90,3.36,PE
Along,28.17,94.77,77.38,83,100,0.67,IN
Vardø,70.37,31.11,50.16,91,100,13.82,NO
Vila Franca do Campo,37.72,-25.43,68.0,77,20,5.82,PT
Orán,-23.13,-64.33,53.01,69,0,1.86,AR
San Miguel de Tucumán,-26.82,-65.22,53.6,58,0,9.17,AR
Marrakesh,31.63,-8.01,87.8,38,40,5.82,MA
Duku,11.24,4.91,71.94,96,17,4.03,NG
Lebu,-37.62,-73.65,50.97,80,100,13.11,CL
Saint-Philippe,-21.36,55.77,60.91,77,75,6.93,RE
Mizque,-17.94,-65.34,55.81,69,63,2.66,BO
Port Blair,11.67,92.75,81.63,81,100,21.12,IN
Eirunepé,-6.66,-69.87,74.37,67,95,1.52,BR
Carora,10.18,-70.08,81.07,65,38,9.17,VE
Bredasdorp,-34.53,20.04,41.0,100,0,3.83,ZA
Oyem,1.6,11.58,67.24,98,87,3.58,GA
Te Anau,-45.42,167.72,52.52,82,100,0.65,NZ
Mikhaylovka,50.06,43.24,65.46,93,100,2.66,RU
Livingston,55.9,-3.52,60.46,93,20,8.05,GB
Butaritari,3.07,172.79,83.16,71,68,6.58,KI
Hay River,60.82,-115.8,73.4,60,20,11.41,CA
Vaini,-21.2,-175.2,73.4,69,75,10.29,TO
Walvis Bay,-22.96,14.51,71.17,14,0,18.34,NA
Ponta do Sol,32.67,-17.1,65.26,64,20,16.11,PT
Mount Gambier,-37.83,140.77,59.0,62,0,14.99,AU
Boffa,10.17,-14.03,75.04,93,89,2.89,GN
Atuona,-9.8,-139.03,79.03,75,32,18.86,PF
Neryungri,56.67,124.65,63.54,87,100,3.2,RU
Zhigansk,66.77,123.37,66.24,50,0,14.38,RU
Faanui,-16.48,-151.75,78.64,81,0,12.06,PF
Ostrovnoy,68.05,39.51,51.26,91,80,9.13,RU
Tuktoyaktuk,69.45,-133.04,60.8,82,20,10.29,CA
Béziers,43.35,3.22,74.39,94,0,4.41,FR
Qasigiannguit,68.82,-51.19,46.4,81,100,10.29,GL
Auki,-8.77,160.7,84.06,76,86,3.15,SB
Saint Paul Harbor,57.79,-152.41,57.2,87,90,9.17,US
Touros,-5.2,-35.46,73.4,94,20,4.7,BR
Tilichiki,60.47,166.1,59.72,71,73,5.99,RU
New Norfolk,-42.78,147.06,56.3,69,48,4.0,AU
Taphan Hin,16.22,100.42,84.2,83,20,5.82,TH
Chokurdakh,70.63,147.92,51.15,66,100,3.0,RU
Srednekolymsk,67.45,153.68,54.27,66,100,7.52,RU
Zhangjiakou,40.81,114.88,78.06,64,95,2.26,CN
Petropavl,54.88,69.16,68.0,64,96,8.95,KZ
Ati,13.22,18.34,82.26,66,56,11.83,TD
Mount Isa,-20.73,139.5,75.2,19,0,16.11,AU
Kieta,-6.22,155.63,80.89,78,100,2.24,PG
Elko,41.0,-115.5,95.43,2,0,4.0,US
East London,-33.02,27.91,59.32,58,0,3.8,ZA
Kruisfontein,-34.0,24.73,48.7,84,0,4.61,ZA
Alappuzha,9.49,76.33,79.3,86,100,9.04,IN
State College,40.79,-77.86,69.46,63,23,5.17,US
Caxito,-8.58,13.66,69.8,88,40,2.24,AO
George Town,5.41,100.34,78.49,88,20,5.53,MY
Messina,38.19,15.55,79.75,88,5,8.05,IT
Alyangula,-13.85,136.42,82.4,34,0,14.99,AU
Qaqortoq,60.72,-46.03,46.4,75,16,2.24,GL
Ribeira Grande,38.52,-28.7,70.38,63,15,3.2,PT
Isangel,-19.55,169.27,75.2,94,90,5.82,VU
Rovaniemi,66.5,25.72,50.0,87,0,5.82,FI
Inuvik,68.35,-133.72,73.4,46,40,12.75,CA
Guerrero Negro,27.98,-114.06,76.21,65,0,13.91,MX
Buta,2.79,24.73,69.98,93,5,2.21,CD
Codrington,-38.27,141.97,59.72,64,0,18.25,AU
Zhicheng,30.3,111.5,88.0,66,0,3.0,CN
Qaanaaq,77.48,-69.36,38.93,73,2,3.38,GL
Berlevåg,70.86,29.09,49.75,91,100,6.93,NO
Lakselv,70.05,24.97,50.0,93,90,11.41,NO
Copiapó,-27.37,-70.33,51.8,93,90,1.1,CL
Carnarvon,-24.87,113.63,64.4,55,0,14.99,AU
La Unión,-5.4,-80.75,65.52,74,15,12.15,PE
Stanari,44.75,17.83,69.8,94,82,2.24,BA
El Tigre,8.89,-64.25,77.61,84,100,2.57,VE
Talnakh,69.49,88.4,62.6,82,75,8.95,RU
Teseney,15.11,36.66,71.51,81,100,9.33,ER
Den Helder,52.96,4.76,71.85,68,90,3.36,NL
Viedma,-40.81,-63.0,44.01,73,51,9.46,AR
Obo,5.4,26.49,66.79,96,93,1.28,CF
Pāli,25.77,73.33,86.13,69,9,4.65,IN
Thompson,55.74,-97.86,66.2,77,75,6.71,CA
Wuda,39.5,106.71,80.65,24,54,7.9,CN
Ojinaga,29.57,-104.42,95.11,19,1,11.41,MX
Dikson,73.51,80.55,56.64,68,100,11.41,RU
Savannah Bight,16.45,-85.85,84.11,83,1,12.19,HN
Arrondissement de Bastia,42.67,9.33,78.04,78,0,1.12,FR
Ilulissat,69.22,-51.1,46.4,81,100,10.29,GL
Nelson Bay,-32.72,152.15,61.83,67,0,6.93,AU
Nhulunbuy,-12.23,136.77,78.8,57,75,16.11,AU
Oranjemund,-28.55,16.43,70.32,23,0,13.6,NA
Hobyo,5.35,48.53,76.53,74,31,25.55,SO
Inta,66.03,60.17,58.42,73,89,12.62,RU
Mahébourg,-20.41,57.7,69.8,83,40,3.36,MU
Santa Rosa,14.31,121.11,87.03,74,100,8.05,PH
Vao,-22.67,167.48,67.93,76,0,24.02,NC
Sydney,-33.87,151.21,61.48,51,2,10.29,AU
Alta Floresta,-9.88,-56.09,72.75,37,0,4.7,BR
Hailar,49.2,119.7,77.07,54,2,4.63,CN
Caguas,18.23,-66.05,78.58,83,18,2.21,PR
Tasiilaq,65.61,-37.64,42.8,70,0,3.36,GL
Coquimbo,-29.95,-71.34,51.8,87,0,8.05,CL
Khovd,48.01,91.64,59.25,46,0,6.85,MN
Arman',59.7,150.17,64.76,45,0,6.08,RU
Gobabis,-22.45,18.97,48.2,36,0,3.36,NA
Eyl,7.98,49.82,78.76,65,41,25.17,SO
Pevek,69.7,170.31,36.36,90,92,4.68,RU
Norman Wells,65.28,-126.83,86.0,30,5,4.7,CA
Birobidzhan,48.8,132.95,70.5,96,100,3.91,RU
Albany,42.6,-73.97,70.9,62,0,3.56,US
Lyubashivka,47.84,30.26,56.34,89,0,9.06,UA
Portland,45.52,-122.68,80.69,45,75,8.05,US
Mar del Plata,-38.0,-57.56,42.6,93,0,3.36,AR
La Reforma,18.1,-91.02,81.99,74,77,8.99,MX
Grindavik,63.84,-22.43,51.8,93,90,12.75,IS
Simao,22.79,100.97,74.44,88,77,1.61,CN
Sittwe,20.15,92.9,83.53,80,56,5.57,MM
Dunedin,-45.87,170.5,52.09,79,100,1.01,NZ
San Patricio,19.22,-104.7,86.0,79,90,3.42,MX
Rapid Valley,44.06,-103.15,74.16,53,75,18.34,US
Mossamedes,-15.2,12.15,65.82,79,0,3.87,AO
Zyryanka,65.75,150.85,64.74,46,41,7.25,RU
Tiksi,71.69,128.87,43.65,74,99,5.7,RU
Okha,53.57,142.95,58.82,59,100,14.41,RU
Tandaltī,13.02,31.87,76.39,79,100,10.27,SD
Kaeo,-35.1,173.78,57.99,3,100,11.99,NZ
San Ramon,37.78,-121.98,74.26,41,1,10.29,US
Merauke,-8.47,140.33,80.91,61,7,14.9,ID
Ames,42.03,-93.62,73.33,50,40,5.82,US
Zhaotong,27.32,103.72,67.71,81,91,2.1,CN
Bethel,41.37,-73.41,70.57,78,1,2.04,US
Fortuna,40.6,-124.16,64.02,76,24,1.99,US
Tanabe,33.73,135.37,89.6,59,40,12.75,JP
Krasnoarmeysk,51.02,45.7,66.0,95,100,7.0,RU
Lüderitz,-26.65,15.16,71.6,18,0,12.75,NA
Labytnangi,66.66,66.42,57.16,67,100,5.84,RU
Amahai,-3.33,128.92,81.0,91,100,5.99,ID
Bubaque,11.28,-15.83,80.04,82,100,12.17,GW
Yulara,-25.24,130.99,62.6,23,0,6.93,AU
Saint Anthony,45.02,-93.22,76.96,44,75,3.36,US
Isiolo,0.35,37.58,65.71,69,3,9.24,KE
Kathmandu,27.72,85.32,69.8,100,90,2.24,NP
Lompoc,34.64,-120.46,61.65,72,0,12.75,US
Vestmannaeyjar,63.44,-20.27,53.58,89,100,8.95,IS
Batemans Bay,-35.72,150.18,60.01,63,82,2.62,AU
Nantucket,41.28,-70.1,69.8,88,90,7.74,US
Upernavik,72.79,-56.15,43.0,69,0,13.69,GL
Yumen,40.28,97.2,73.11,20,0,15.39,CN
Adrar,20.5,-10.07,95.07,32,67,12.88,MR
San Andrés,12.58,-81.7,84.2,83,40,2.24,CO
Sitka,57.05,-135.33,71.6,60,75,4.7,US
Don Luan,11.53,106.92,74.98,95,100,5.46,VN
Vila Velha,-20.33,-40.29,69.8,77,90,13.87,BR
Xifeng,42.74,124.72,83.41,64,100,12.41,CN
Lorengau,-2.02,147.27,84.42,75,85,7.29,PG
San Quintín,30.48,-115.95,73.74,66,0,9.08,MX
Ambulu,-8.35,113.61,79.52,66,13,3.27,ID
Hasaki,35.73,140.83,81.55,78,75,10.29,JP
Husavik,66.04,-17.34,50.0,87,90,6.93,IS
Burnie,-41.07,145.92,54.46,76,56,10.0,AU
Dhidhdhoo,6.88,73.1,82.96,79,100,14.88,MV
Cayenne,4.93,-52.33,80.6,88,100,5.82,GF
Meadow Lake,34.8,-106.54,75.52,53,75,26.4,US
Constantine,36.37,6.61,75.2,36,0,2.28,DZ
Inzer,54.22,57.56,62.26,91,100,2.95,RU
Hegang,47.4,130.37,83.44,61,79,5.21,CN
Puerto Ayora,-0.74,-90.35,68.0,91,100,1.99,EC
Ploemeur,47.73,-3.43,61.23,100,90,5.82,FR
Fougères,48.35,-1.2,66.13,93,75,4.7,FR
Roebourne,-20.78,117.13,78.93,18,0,9.55,AU
Dumas,35.87,-101.97,77.34,39,1,6.67,US
Shingū,33.73,135.98,89.6,59,40,12.75,JP
Batié,9.88,-2.92,72.93,94,100,3.06,BF
Porto-Novo,6.5,2.6,77.0,88,40,6.93,BJ
Brownsville,25.9,-97.5,83.79,79,1,8.05,US
Fort Nelson,58.81,-122.7,86.0,35,20,9.17,CA
Ndélé,8.41,20.65,69.53,95,53,1.92,CF
Colima,19.17,-104.0,77.76,94,90,2.64,MX
Coyhaique,-45.58,-72.07,33.8,100,100,2.26,CL
Saint-Joseph,-21.37,55.62,61.0,77,75,6.93,RE
Taoudenni,22.68,-3.98,97.61,12,0,11.81,ML
Mehamn,71.04,27.85,49.84,89,96,5.64,NO
Port Elizabeth,-33.92,25.57,48.2,100,0,4.7,ZA
Nikolskoye,59.7,30.79,53.19,81,99,11.18,RU
Bandarbeyla,9.49,50.81,78.82,70,39,27.63,SO
Mahanoro,-19.9,48.8,65.77,85,22,7.7,MG
Paamiut,61.99,-49.67,44.87,91,100,6.96,GL
Itanhaém,-24.18,-46.79,64.78,82,75,6.93,BR
Sur,22.57,59.53,86.45,67,100,4.68,OM
Giohar,2.78,45.5,74.37,79,100,15.01,SO
Cabo San Lucas,22.89,-109.91,84.99,58,5,10.29,MX
Saldanha,-33.01,17.94,44.6,93,0,3.36,ZA
Oktyabr'skiy,54.48,53.47,60.93,89,61,1.12,RU
Rehoboth,-23.32,17.08,43.75,56,0,6.31,NA
Beausejour,50.06,-96.52,70.52,99,52,3.0,CA
Fairbanks,64.84,-147.72,74.59,38,1,4.7,US
Okhotsk,59.38,143.3,63.68,52,63,12.97,RU
Smolenka,52.14,113.5,69.8,77,40,2.24,RU
Talcahuano,-36.72,-73.12,50.0,93,90,2.24,CL
Durango,24.83,-104.83,68.04,70,95,4.79,MX
Jardim,-21.48,-56.14,70.54,53,0,5.61,BR
Carballo,43.21,-8.69,62.64,93,40,1.12,ES
Tétouan,35.57,-5.37,77.0,88,81,4.7,MA
Camacha,33.08,-16.33,68.0,77,20,4.7,PT
Usisha,42.25,47.39,68.0,77,0,8.95,RU
Marsá Maţrūḩ,31.35,27.25,75.69,85,0,12.17,EG
Cidreira,-30.18,-50.21,57.38,93,0,7.05,BR
Calbuco,-41.77,-73.13,53.6,50,90,19.46,CL
Brownwood,31.71,-98.99,86.0,37,1,3.36,US
Alofi,-19.06,-169.92,77.0,61,69,12.75,NU
Poum,-20.23,164.02,70.99,76,0,28.79,NC
Beloha,-25.17,45.05,58.28,81,0,6.35,MG
Huarmey,-10.07,-78.15,60.69,86,30,4.45,PE
Egvekinot,66.32,-179.17,45.63,88,100,2.42,RU
Ahipara,-35.17,173.17,59.49,74,100,15.95,NZ
Castillo de Teayo,20.75,-97.62,78.26,85,100,4.65,MX
Faya,18.39,42.45,63.5,100,40,5.48,SA
Port Hedland,-20.32,118.57,80.6,10,0,6.93,AU
Florence,43.77,11.25,73.04,88,0,3.36,IT
Clyde River,70.47,-68.59,42.8,100,90,6.93,CA
Hofn,64.25,-15.21,52.12,93,100,20.09,IS
Agadez,19.75,10.25,89.53,37,100,11.45,NE
San Luis,-33.3,-66.34,50.88,43,9,8.61,AR
Kirakira,-10.45,161.92,84.42,68,74,5.08,SB
Weston,26.1,-80.4,84.69,79,20,11.41,US
Olafsvik,64.89,-23.71,50.04,88,100,15.23,IS
El Bosque,17.07,-92.73,82.4,69,40,10.29,MX
Nyurba,63.28,118.33,71.42,50,53,5.68,RU
Djibo,14.1,-1.63,80.56,61,100,9.46,BF
High Level,58.52,-117.14,78.8,50,20,6.93,CA
Ixtapa,20.7,-105.2,81.3,88,90,8.05,MX
Zliten,32.47,14.57,74.28,75,0,4.61,LY
Bela,25.93,81.98,87.01,66,86,7.29,IN
Amapá,1.0,-52.0,73.72,85,45,1.99,BR
Kibre Mengist,5.88,38.98,57.42,95,100,3.29,ET
Caravelas,-17.71,-39.25,70.7,84,100,11.81,BR
Shahrud,36.42,54.98,61.43,49,0,5.61,IR
Fomboni,-12.28,43.74,75.29,78,74,21.92,KM
Cherskiy,68.75,161.3,48.43,69,97,7.27,RU
Heyang,26.1,107.47,78.35,79,10,3.85,CN
Camapuã,-19.53,-54.04,74.62,41,25,9.51,BR
Gunupur,19.08,83.82,83.57,77,83,2.66,IN
Coruripe,-10.13,-36.18,73.76,85,67,13.44,BR
Camden,39.78,-74.97,73.45,93,6,3.4,US
Khatanga,71.97,102.5,70.66,45,100,13.73,RU
Daru,-9.08,143.21,78.66,65,44,15.68,PG
Cherepanovo,54.22,83.38,61.27,80,45,6.24,RU
Hithadhoo,-0.6,73.08,83.03,71,0,6.13,MV
Manicoré,-5.81,-61.3,76.53,49,0,1.81,BR
New Richmond,45.12,-92.54,70.38,73,1,3.44,US
Turukhansk,65.82,87.98,57.02,89,100,13.6,RU
Capitán Bado,-23.27,-55.53,64.65,68,0,9.55,PY
Padang,-0.95,100.35,81.3,68,75,0.18,ID
Kibondo,-3.59,30.72,66.65,51,94,2.84,TZ
Lodja,-3.48,23.43,72.72,43,0,1.05,CD
Cairns,-16.92,145.77,69.13,88,75,16.11,AU
Santa Cruz de la Sierra,-17.8,-63.17,62.6,88,58,8.05,BO
Bad Kreuznach,49.83,7.87,64.89,62,20,2.21,DE
Petropavlovskoye,52.07,84.11,64.76,51,100,3.6,RU
Voh,-20.97,164.7,72.68,63,63,15.75,NC
Waiouru,-39.48,175.67,50.99,53,98,4.92,NZ
Okaihau,-35.32,173.78,57.99,3,100,11.99,NZ
Krasnoborsk,61.56,45.93,52.65,96,100,4.7,RU
Lavrentiya,65.58,-171.0,48.33,71,32,10.94,RU
Stepnyak,52.83,70.78,68.38,73,0,11.43,KZ
Chui,-33.7,-53.46,47.95,90,55,1.54,UY
Nueva Italia,-25.62,-57.5,68.0,72,0,2.24,PY
Cockburn Town,21.46,-71.14,82.76,82,100,27.18,TC
Novoil'insk,51.68,108.71,71.33,61,64,4.65,RU
Ciudad Guayana,8.35,-62.65,82.0,81,47,1.01,VE
Umluj,25.02,37.27,86.43,73,64,7.94,SA
Bandar-e Lengeh,26.56,54.88,88.9,72,4,18.07,IR
Tautira,-17.73,-149.15,84.2,66,40,12.75,PF
Araci,-11.33,-38.97,66.56,94,32,7.23,BR
Kawerau,-38.1,176.7,57.92,64,100,8.01,NZ
Gijang,35.24,129.21,86.0,70,75,8.05,KR
Rossland,49.08,-117.8,81.9,44,37,7.0,CA
Valparaíso,-33.04,-71.63,54.0,66,100,4.16,CL
Kashgar,39.45,75.98,75.2,41,40,11.18,CN
Rameswaram,9.28,79.3,83.59,75,88,10.96,IN
Conceição do Araguaia,-8.26,-49.26,72.28,33,0,3.74,BR
Mlonggo,-6.53,110.7,80.6,61,20,5.53,ID
Saint-Pierre,-21.34,55.48,61.63,77,75,6.93,RE
Byron Bay,-28.65,153.62,63.55,77,75,12.75,AU
Mana,5.66,-53.78,77.4,85,65,2.46,GF
Namwala,-15.75,26.44,47.32,57,0,5.46,ZM
Tignère,7.37,12.65,62.89,99,100,1.25,CM
Xining,36.62,101.77,67.84,43,0,0.38,CN
Iqaluit,63.75,-68.51,53.29,100,90,3.36,CA
Los Llanos de Aridane,28.66,-17.92,68.29,73,90,12.75,ES
Blagoveshchensk,50.27,127.53,73.4,83,40,6.71,RU
Vodnyy,63.5,53.41,51.13,95,100,4.76,RU
Salinópolis,-0.61,-47.36,79.7,87,100,12.93,BR
Shimoda,34.67,138.95,78.04,83,75,12.75,JP
Pulandian,39.4,121.97,78.8,88,75,2.24,CN
Lata,40.16,-8.33,63.5,93,90,8.05,PT
Kavieng,-2.57,150.8,84.52,75,96,8.25,PG
Ust-Maya,60.42,134.53,74.23,31,0,9.15,RU
Godhra,22.75,73.63,80.6,88,40,3.36,IN
Fenoarivo,-18.93,47.44,59.0,82,75,9.17,MG
Bulawayo,-20.15,28.58,44.01,75,0,7.27,ZW
Namatanai,-3.67,152.43,82.02,80,100,11.7,PG
Champerico,14.3,-91.92,83.73,76,56,5.46,GT
Oussouye,12.48,-16.55,78.19,88,60,5.97,SN
Valença,-13.37,-39.07,67.82,93,66,4.99,BR
Noumea,-22.28,166.46,69.8,77,75,11.41,NC
Iskateley,67.68,53.15,53.91,85,100,10.22,RU
Yetkul',54.82,61.59,64.4,88,40,6.71,RU
Ubari,26.59,12.78,83.44,20,0,10.92,LY
Iberia,29.95,-91.75,82.53,79,1,5.82,US
Kahului,20.89,-156.47,80.04,45,1,24.16,US
Longyearbyen,78.22,15.64,48.2,87,40,3.36,SJ
La Ronge,55.1,-105.28,75.2,41,20,10.29,CA
Bilibino,68.05,166.44,51.91,67,98,4.79,RU
Konya Province,38.17,32.5,69.8,43,0,8.05,TR
Gigmoto,13.78,124.39,77.95,88,100,6.6,PH
Shirakawa,37.12,140.24,77.0,78,40,4.7,JP
Gornopravdinsk,60.05,69.9,62.51,94,98,5.64,RU
Yuzhno-Kurilsk,44.03,145.86,66.2,86,96,2.37,RU
Luanda,-8.84,13.23,69.8,88,40,2.24,AO
Vostok,46.49,135.88,77.83,59,92,6.29,RU
Temba,-25.38,28.26,45.03,45,0,1.12,ZA
Lucea,18.45,-78.17,83.55,83,75,3.36,JM
Kouqian,43.64,126.46,81.73,69,100,10.22,CN
Odesskoye,54.21,72.97,68.61,74,66,11.32,RU
Bereda,43.27,-7.54,63.61,99,99,4.0,ES
Pokhara,28.23,83.98,72.72,82,99,0.38,NP
Manta,-0.95,-80.73,71.6,88,90,11.41,EC
Ust-Nera,64.57,143.2,67.73,31,5,3.22,RU
Bonthe,7.53,-12.51,75.42,94,99,4.9,SL
Gubbi,13.31,76.94,70.29,94,100,8.79,IN
Vetluzhskiy,58.39,45.47,50.04,98,8,4.07,RU
Labuan,5.28,115.24,84.09,83,40,2.24,MY
Meulaboh,4.14,96.13,79.77,72,62,3.2,ID
Bahía Honda,22.9,-83.16,81.18,81,1,12.55,CU
Banda Aceh,5.56,95.32,83.59,68,99,12.26,ID
Benghazi,32.12,20.07,78.94,81,0,11.21,LY
Ancud,-41.87,-73.82,46.18,100,90,12.75,CL
Palu,-0.89,119.87,80.2,80,100,3.2,ID
Atar,20.52,-13.05,90.03,44,11,7.23,MR
Camocim,-2.9,-40.84,77.27,75,22,15.23,BR
Jalu,29.03,21.55,78.08,39,0,9.48,LY
Arrondissement d'Ajaccio,42.0,8.92,69.8,64,0,9.17,FR
Nogliki,51.83,143.17,53.35,91,100,15.59,RU
Kytmanovo,53.46,85.45,65.48,65,34,8.43,RU
Haines Junction,60.75,-137.51,79.45,34,68,2.46,CA
Puchezh,56.98,43.17,54.84,87,42,4.52,RU
Karratha,-20.74,116.85,79.59,17,0,9.66,AU
Marabu,4.41,114.01,82.2,83,20,2.24,MY
Uusikaupunki,60.8,21.41,51.8,93,0,3.36,FI
Buala,-8.14,159.59,85.98,63,92,4.85,SB
Gumdag,39.21,54.59,78.42,28,0,7.29,TM
Chivay,-15.64,-71.6,49.5,42,13,3.15,PE
Araguaçu,-12.93,-49.83,69.57,27,0,6.76,BR
Magadan,59.57,150.8,61.77,53,0,6.58,RU
Teguise,29.06,-13.56,73.4,78,24,9.17,ES
Kiryat Gat,31.61,34.76,69.44,60,0,1.01,IL
Opuwo,-18.06,13.84,54.48,40,0,8.43,NA
Skibbereen,51.55,-9.27,55.4,87,40,10.29,IE
Mackenzie,55.3,-123.17,80.6,57,40,2.24,CA
Yangi Marg`ilon,40.43,71.72,73.4,40,0,6.93,UZ
Nemuro,43.32,145.57,68.0,88,75,9.17,JP
Sumbawanga,-7.97,31.62,55.4,87,20,6.93,TZ
San Policarpo,12.18,125.51,78.26,86,100,2.53,PH
Ternate,0.8,127.4,82.38,75,37,4.45,ID
Garoowe,8.41,48.48,76.19,67,80,26.13,SO
Tokur,53.13,132.9,58.3,97,100,4.16,RU
Kérouané,9.27,-9.02,69.19,94,100,2.68,GN
Kidal,18.44,1.41,93.06,29,0,15.12,ML
Derzhavīnsk,51.1,66.32,76.08,38,9,5.37,KZ
Ola,59.58,151.28,63.01,50,0,5.53,RU
Tuyen Quang,21.82,105.22,85.73,82,77,2.01,VN
Lima,-12.04,-77.03,60.8,77,90,5.82,PE
Dickinson,29.46,-95.05,83.8,70,1,6.93,US
Srandakan,-7.94,110.25,81.23,64,78,7.87,ID
São Filipe,14.9,-24.5,75.54,80,66,7.16,CV
Chipinge,-20.19,32.62,47.34,95,0,2.24,ZW
Banjar,-8.19,114.97,80.6,78,40,17.22,ID
Córdoba,-31.41,-64.18,47.97,55,8,5.82,AR
Payson,40.04,-111.73,95.76,13,1,5.17,US
Plastun,44.76,136.29,69.96,86,100,3.31,RU
Azare,11.68,10.19,75.43,77,96,6.62,NG
